Country/Region,% of GDP
United States,122.56
United Kingdom,287.08
Japan,98.44
Netherlands,381.62
France,112.06
Ireland,548.53
Italy,143.09
Germany,65.33
Canada,126.94
China,13.55
Switzerland,284.57
Australia,111.17
Hong Kong,504.1
Spain,111.84
Brazil,71.59
Sweden,171.81
Mexico,52.92
Singapore,158.13
Norway,133.14
South Korea,38.62
Belgium,104.42
India,16.83
Turkey,46.21
Portugal,164.48
Austria,77.76
Indonesia,29.1
Poland,49.3
Greece,322.85
Russia,13.67
Thailand,49.09
Argentina,42.91
Saudi Arabia,23.83
South Africa,65.81
Malaysia,58.17
Philippines,58.9
Chile,65.09
United Arab Emirates,59.69
Finland,71.3
New Zealand,81.76
Czech Republic,61.47
Mauritius,"1,368"
Qatar,106.09
Taiwan,24.4
Colombia,56.03
Puerto Rico,161.93
Egypt,42.72
Kazakhstan,65.71
Romania,45.4
Israel,29.28
Hungary,160
Vietnam,39.1
Pakistan,43
Ukraine,81
Denmark,119
Slovakia,112
Venezuela,23
Malta,691
Algeria,2
Nigeria,2
Bangladesh,22
Morocco,46
Peru,44
Sri Lanka,68
Iraq,44
Sudan,121
Slovenia,104
Ecuador,57
Uruguay,50
Oman,35
Croatia,74
Panama,56.6
Jordan,83
Latvia,126
Bahrain,66
Serbia,56.5
Tunisia,97
Angola,41
Belarus,66
Lebanon,220
Estonia,89
Mongolia,245
Uzbekistan,24
Ivory Coast,24
Ghana,30
Lithuania,74
Cuba,34
Dominican Republic,36
Cyprus,849
Costa Rica,43
Luxembourg,22.1
Ethiopia,32
Cambodia,57
Papua New Guinea,111
Iceland,81
Paraguay,54
Trinidad & Tobago,76
Bulgaria,63
Guatemala,28
Palau,62.1
Bahamas,194
Jamaica,122
Monaco,240
Tanzania,34
Bolivia,33
El Salvador,56
Albania,66
Myanmar,17
Nicaragua,83
Georgia,128
Zimbabwe,77
Laos,53
Mozambique,72
Nepal,16
Zambia,45
Iran,2
Azerbaijan,22
Honduras,38
North Macedonia,73
Cameroon,24
Yemen,21
Armenia,102
Tajikistan,38
Namibia,64
Uganda,24
Senegal,42
Syria,24
Kyrgyzstan,112
Moldova,70
Democratic Republic of the Congo,13
Gabon,35
Bosnia and Herzegovina,23
North Korea,18
Republic of the Congo,55
Barbados,100
Montenegro,151
Madagascar,41
Kosovo,37
Mali,26
Mauritania,76
Libya,9
Botswana,8
Burkina Faso,26
Somalia,52
Niger,36
Seychelles,180
Rwanda,29
Bermuda (UK),47
Benin,26
Bhutan,108
Haiti,24
Malawi,39
South Sudan,62.7
Chad,18
Cape Verde,99
Sierra Leone,36
Palestine,35
Equatorial Guinea,12
Djibouti,71
Guinea,20
Belize,75
Afghanistan,7
Suriname,30
Togo,26
Guyana,36
Andorra,41
Liberia,51
Guinea-Bissau,94
Lesotho,53
Faroe Islands (Denmark),38
Fiji,18
Eritrea,15
Maldives,23
Burundi,26
Aruba,28
Central African Republic,39
Kuwait,0.42
Grenada,66
Gambia,61
Saint Lucia,36
Turkmenistan,1
Solomon Islands,40
Eswatini,14
Samoa,51
Antigua and Barbuda,34
San Marino,23
Brunei,2.8
Saint Vincent and the Grenadines,42
Timor-Leste,12
Dominica,55
Cook Islands,23
Sao Tome and Principe,67
Tonga,54
Vanuatu,27
Saint Kitts and Nevis,20
Comoros,21
New Caledonia (France),1
Marshall Islands,52
Micronesia,29
Cayman Islands (UK),7
Kenya,26
Greenland (Denmark),2
Nauru,22
British Virgin Islands (UK),2
Tuvalu,37
Kiribati,8
Anguilla (UK),5
Wallis and Futuna (France),6
Montserrat (UK),2
Liechtenstein,0
Niue (New Zealand),0
