Country,Homeless per 10k
Afghanistan,1.0
Australia,1.0
Austria,0.0
Azerbaijan,1.0
Bangladesh,1.0
Bhutan,0.0
Brazil,0.0
Burkina Faso,1.0
Cameroon,1.0
Canada,0.0
Central African Republic,1.0
Chad,1.0
Chile,0.0
China,0.0
Colombia,1.0
Congo DR,1.0
Costa Rica,0.0
Côte d'Ivoire,1.0
Croatia,0.0
Czech Republic,0.0
Egypt,1.0
Estonia,0.0
Ethiopia,1.0
Finland,0.0
France,1.0
Georgia,1.0
Germany,0.0
Ghana,0.0
Greece,1.0
Grenada,0.0
Guatemala,1.0
Haiti,0.0
Honduras,1.0
Hungary,0.0
Iceland,0.0
India,0.0
Indonesia,1.0
Iran,0.0
Iraq,1.0
Ireland,0.0
Israel,0.0
Italy,0.0
Japan,0.0
Jordan,0.0
Kazakhstan,0.0
Kenya,1.0
Latvia,0.0
Libya,1.0
Liechtenstein,0.0
Lithuania,0.0
Luxembourg,1.0
Mali,1.0
Mexico,1.0
Mozambique,1.0
Netherlands,0.0
New Zealand,1.0
Nigeria,1.0
Norway,0.0
Pakistan,1.0
Peru,1.0
Philippines,1.0
Poland,0.0
Portugal,0.0
Romania,0.0
Russia,0.0
Serbia,0.0
Somalia,1.0
South Africa,1.0
South Korea,0.0
South Sudan,1.0
Spain,0.0
Sudan,1.0
Sweden,1.0
Switzerland,0.0
Syria,1.0
Thailand,0.0
Togo,1.0
Turkey,0.0
Uganda,1.0
Ukraine,1.0
United Kingdom,1.0
United States,0.0
Vietnam,0.0
Yemen,1.0
Zimbabwe,1.0
